id,host_resp_rate_pct,host_accept_rate_pct,host_listings_count,latitude,longitude,accommodates,bedrooms,beds,price_usd,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,clusters,cluster
991765,100,60,1,37.75707,-122.4116,6,3.0,3.0,250.0,4,20,0,0,0,16,48,4,0,4.89,4.87,4.8,4.98,4.94,4.68,4.7,1,1,0,0,0.42,1,pink
992913,100,86,2,37.79959,-122.40639,2,1.0,1.0,99.0,2,14,27,27,30,120,387,16,1,4.24,4.34,3.89,4.58,4.38,4.84,4.28,2,0,2,0,3.27,1,pink
997382,100,100,5,37.77082,-122.44825,1,1.0,1.0,53.0,1,7,12,28,50,320,626,74,5,4.52,4.74,4.6,4.82,4.82,4.83,4.54,5,0,5,0,5.34,1,pink
998701,100,100,1,37.75939,-122.50664,2,1.0,1.0,113.0,3,7,17,36,57,251,243,6,0,4.97,4.97,4.96,4.99,5.0,4.87,4.96,1,0,1,0,2.06,1,pink
1001759,88,0,3,37.76138,-122.43853,1,1.0,1.0,89.0,30,1125,0,0,0,0,13,0,0,4.85,4.92,4.69,4.85,5.0,5.0,4.77,3,0,3,0,0.11,1,pink
1005642,90,100,2,37.761097,-122.424545,2,1.0,1.0,120.0,2,20,19,49,79,169,369,44,2,4.88,4.93,4.78,4.93,4.95,4.93,4.8,2,0,2,0,3.15,1,pink
1007157,100,100,1,37.79531,-122.41895,9,4.0,4.0,230.0,30,120,26,26,26,293,93,1,0,4.62,4.82,4.59,4.8,4.62,4.88,4.57,1,1,0,0,0.8,1,pink
1016604,100,98,2,37.77838,-122.46124,8,3.0,6.0,513.0,4,20,8,8,8,15,21,6,0,4.81,4.95,4.76,5.0,5.0,4.9,4.86,2,2,0,0,0.2,1,pink
1018426,88,0,1,37.77543,-122.40575,2,1.0,2.0,150.0,30,1125,30,60,90,365,120,0,0,4.82,4.9,4.95,4.93,4.97,4.32,4.73,1,0,0,1,1.03,1,pink
1031899,100,100,2,37.74832,-122.42567,2,1.0,1.8,126.0,30,360,28,58,88,363,7,0,0,5.0,5.0,4.86,5.0,5.0,5.0,4.86,2,2,0,0,0.06,1,pink
1033754,100,87,3,37.75989,-122.50427,6,3.0,3.0,400.0,1,1125,8,8,8,41,195,13,0,4.93,4.94,4.93,4.94,4.97,4.8,4.82,3,1,2,0,1.66,1,pink
1036860,88,63,1,37.80463,-122.42012,4,2.0,2.0,270.0,2,7,0,0,0,4,18,2,0,4.94,4.94,4.94,4.67,4.78,5.0,4.94,1,1,0,0,0.16,1,pink
1038324,80,75,2,37.75217,-122.40954,2,1.0,1.0,75.0,30,1125,12,28,58,243,95,1,0,4.56,4.66,4.41,4.86,4.91,4.57,4.46,1,0,1,0,0.83,1,pink
1056006,96,81,33,37.77576,-122.42284,4,3.0,3.0,145.0,30,1125,27,31,31,207,5,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,30,30,0,0,0.05,1,pink
1067031,100,94,1,37.7305,-122.45194,5,3.0,3.0,235.0,2,29,16,45,45,45,19,14,0,4.94,4.95,5.0,4.95,4.89,4.74,4.84,1,1,0,0,0.17,1,pink
1080429,100,50,2,37.77813,-122.441269,2,1.0,1.0,65.0,30,38,19,49,63,310,25,3,1,4.76,4.76,4.32,4.92,4.96,4.8,4.52,1,0,1,0,0.22,1,pink
1083810,100,69,3,37.75417,-122.43705,6,3.0,3.0,324.0,1,90,19,49,79,168,34,7,0,4.85,4.91,4.91,4.97,5.0,4.91,4.7,3,1,2,0,0.33,1,pink
1084068,88,88,2,37.77985,-122.40352,2,1.0,2.0,180.0,365,730,30,60,90,365,40,0,0,4.64,4.97,4.88,4.79,4.91,4.06,4.24,2,2,0,0,0.34,1,pink
1087427,88,67,5,37.75629,-122.47907,1,1.0,1.0,75.0,30,360,24,54,84,84,1,0,0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,4,0,4,0,0.02,1,pink
