id,host_id,host_since,host_response_time,host_resp_rate_pct,host_accept_rate_pct,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,price_usd,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,review_category
27707954,31764728,2015-04-23,Unknown,88,88,f,1,t,f,Western Addition,37.77002,-122.43449,Entire rental unit,Entire home/apt,6,1 bath,2.0,3.0,199.0,30,365,t,0,0,0,0,41,0,0,2018-09-25,2019-04-07,4.73,4.8,4.78,4.93,4.9,4.93,4.59,t,1,1,0,0,0.8,excellent
27710210,117141107,2017-02-19,Unknown,88,88,f,43,t,t,Haight Ashbury,37.76942,-122.44991,Shared room in hostel,Shared room,1,5 shared baths,1.0,1.0,100.0,1,25,t,0,0,0,0,30,0,0,2018-08-24,2019-12-07,4.83,4.83,4.57,4.9,4.9,4.97,4.83,t,43,0,16,26,0.58,excellent
27713331,117141107,2017-02-19,Unknown,88,88,f,43,t,t,Haight Ashbury,37.76942,-122.44991,Shared room in hostel,Shared room,1,5 shared baths,1.0,1.0,100.0,1,25,t,0,0,0,0,21,0,0,2018-09-03,2020-02-09,4.71,4.67,4.62,5.0,4.81,4.9,4.57,t,43,0,16,26,0.41,excellent
27714378,117141107,2017-02-19,Unknown,88,88,f,43,t,t,Haight Ashbury,37.76942,-122.44991,Shared room in hostel,Shared room,2,5 shared baths,1.0,1.0,118.0,1,25,t,0,0,0,0,49,0,0,2019-03-15,2020-03-10,4.76,4.86,4.43,4.96,4.9,4.86,4.59,t,43,0,16,26,1.08,excellent
27725598,1208533,2011-09-25,within an hour,100,98,t,6,t,f,Nob Hill,37.79225,-122.40995,Private room in home,Private room,2,1 private bath,1.0,1.0,200.0,2,1125,t,30,56,86,176,86,36,1,2018-08-27,2022-11-18,4.8,4.87,4.92,4.56,4.79,4.95,4.83,f,6,2,4,0,1.65,excellent
27727846,81226014,2016-07-02,within a few hours,100,100,t,4,t,t,Outer Sunset,37.75964,-122.48932,Private room in home,Private room,2,1.5 shared baths,1.0,1.0,115.0,1,45,t,0,0,0,0,55,8,0,2018-08-19,2022-10-23,4.67,4.84,4.84,4.96,4.82,4.62,4.51,f,4,0,4,0,1.05,excellent
27759254,1603908,2012-01-13,Unknown,88,88,f,2,t,t,Downtown/Civic Center,37.78184,-122.41586,Private room in townhouse,Private room,1,1 shared bath,1.0,1.0,60.0,30,60,t,0,0,0,0,3,0,0,2018-09-23,2019-10-02,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1,0,1,0,0.06,excellent
27802152,199383502,2018-07-02,within an hour,100,0,f,1,t,f,North Beach,37.8007,-122.40829,Entire rental unit,Entire home/apt,4,1 bath,2.0,2.0,183.0,30,1125,t,30,60,90,365,2,0,0,2019-08-16,2019-11-20,5.0,5.0,5.0,5.0,5.0,5.0,4.5,f,1,1,0,0,0.05,excellent
27808088,70722023,2016-05-06,within an hour,100,100,t,240,t,t,Financial District,37.78968,-122.40662,Entire serviced apartment,Entire home/apt,2,1 bath,1.55,1.0,90.0,2,7,t,0,0,0,0,9,0,0,2018-10-16,2020-01-16,4.78,5.0,4.78,5.0,5.0,5.0,5.0,t,68,68,0,0,0.18,excellent
27808710,70722023,2016-05-06,within an hour,100,100,t,240,t,t,Downtown/Civic Center,37.78951,-122.40763,Entire rental unit,Entire home/apt,3,1 bath,1.0,2.0,99.0,2,7,t,0,0,0,0,5,1,0,2018-11-09,2022-06-09,4.6,4.6,4.8,4.2,4.8,5.0,4.0,t,68,68,0,0,0.1,excellent
